Crimes Against Persons Offenses,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
Offense Category,,,,,,,,
"by State, 2011",,,,,,,,
State,"Number of 
Participating
Agencies","Population
Covered",Total Offenses,Offense Category,,,,
,,,,"Assault
Offenses","Homicide
Offenses","Kidnapping/
Abduction","Sex Offenses,
Forcible","Sex Offenses,
Nonforcible"
Total,5880,87201771,1321523,1226300,3792,15310,69356,6765
Alabama,1,82012,809,792,0,4,13,0
Arizona,5,314222,2487,2223,15,93,131,25
Arkansas,259,2804225,60023,57189,162,514,2030,128
Colorado,171,4229596,41243,34807,157,1352,4627,300
Connecticut,80,2586191,26490,24560,65,501,1219,145
Delaware,56,907135,22216,20997,43,337,779,60
District of Columbia,1,0,781,774,0,4,3,0
Idaho,107,1583018,17621,15815,32,181,1468,125
Illinois,1,153331,6278,5960,21,41,256,0
Iowa,212,2904419,30751,28578,46,178,1754,195
Kansas,358,2252781,46462,42997,71,925,2353,116
Kentucky,375,4246472,30126,26057,105,479,3375,110
Louisiana,32,653519,15144,14460,37,70,460,117
Maine,18,280762,3826,3592,5,10,179,40
Massachusetts,290,5581641,71631,67563,117,582,2662,707
Michigan,568,9578540,160413,147937,693,838,10850,95
Mississippi,1,68049,2025,1949,16,4,46,10
Missouri,19,669905,14326,13383,119,68,695,61
Montana,99,988577,9884,8746,18,182,882,56
Nebraska,67,646262,7511,6726,10,82,655,38
New Hampshire,151,1176668,18171,16255,22,307,1127,460
North Dakota,94,666780,7559,6850,14,64,492,139
Ohio,513,8481055,142707,133388,401,2183,5638,1097
Oklahoma,201,1024254,7346,6835,24,48,400,39
Oregon,65,1125343,13730,12325,41,152,1038,174
Rhode Island,47,1050252,10753,10000,16,41,654,42
South Carolina,341,4668211,110853,105287,338,1016,3929,283
South Dakota,118,746684,8712,7762,21,53,716,160
Tennessee,467,6403353,162095,154692,422,1151,5134,696
Texas,59,3527692,48794,45107,114,629,2725,219
Utah,73,2193871,30988,27192,59,786,2777,174
Vermont,85,619283,3913,3572,10,83,199,49
Virginia,410,8087710,115080,107992,323,1473,5084,208
Washington,172,3075067,30588,27589,63,402,2303,231
West Virginia,281,1689892,18981,17757,76,104,988,56
Wisconsin,83,2134999,21206,18592,116,373,1715,410
