Crimes Against Persons Offenses,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
Offense Category,,,,,,,,
"by State, 2012",,,,,,,,
State,"Number of 
Participating
Agencies","Population
Covered",Total Offenses,Offense Category,,,,
,,,,"Assault
Offenses","Homicide
Offenses","Kidnapping/
Abduction","Sex Offenses,
Forcible","Sex Offenses,
Nonforcible"
Total,6115,90290162,1327863,1228498,3943,15797,73132,6493
Alabama,1,82332,899,870,2,2,25,0
Arizona,4,314822,2671,2359,32,85,153,42
Arkansas,268,2755084,59476,56600,195,488,2075,118
Colorado,230,5055579,47729,40366,176,1494,5369,324
Connecticut,81,2598231,26797,24813,84,452,1296,152
Delaware,58,917886,22141,20850,59,341,824,67
District of Columbia,1,0,731,726,0,4,1,0
Idaho,108,1595241,17484,15514,31,212,1584,143
Illinois,1,152293,6170,5882,12,55,221,0
Iowa,216,2920652,29635,27424,50,216,1757,188
Kansas,350,2256072,45302,41883,60,936,2315,108
Kentucky,377,4313264,32282,28084,146,549,3393,110
Louisiana,9,248064,445,423,0,6,13,3
Maine,19,285832,4001,3693,5,9,253,41
Massachusetts,302,5734473,69778,65667,77,532,2765,737
Michigan,585,9633716,160878,147852,736,903,11292,95
Mississippi,3,126059,3495,3401,5,13,69,7
Missouri,20,740543,16169,15172,116,92,737,52
Montana,99,995410,10776,9391,24,210,1072,79
Nebraska,70,676706,7350,6502,3,72,734,39
New Hampshire,149,1170795,17851,16026,16,255,1165,389
North Dakota,94,688805,8366,7556,17,72,590,131
Ohio,516,8312658,123519,115648,330,1888,4823,830
Oklahoma,243,1328271,12713,11774,20,88,749,82
Oregon,68,1216129,13343,12065,33,155,960,130
Rhode Island,47,1049246,11619,10785,36,68,687,43
South Carolina,388,4715754,106343,100590,353,1124,3999,277
South Dakota,117,769711,9489,8362,17,104,834,172
Tennessee,467,6460102,162416,154680,449,1325,5294,668
Texas,65,3483727,46289,42640,110,536,2799,204
Utah,75,2305381,33039,28779,52,756,3242,210
Vermont,87,622979,4201,3819,13,76,252,41
Virginia,420,8185867,113151,106052,331,1486,5086,196
Washington,213,4691718,56385,51441,155,657,3812,320
West Virginia,284,1722976,20276,18903,70,119,1100,84
Wisconsin,80,2163784,24654,21906,128,417,1792,411
