Crimes Against Persons Offenses,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Offense Category,,,,,,,,,
"by State, 2013",,,,,,,,,
State,"Number of 
Participating
Agencies","Population
Covered",Total Offenses,Offense Category,,,,,
,,,,"Assault
Offenses","Homicide
Offenses","Human
Trafficking
Offenses","Kidnapping/
Abduction",Sex Offenses,"Sex Offenses,
Nonforcible"
Total,6328,92714938,1289799,1193908,3841,6,15737,70144,6163
Alabama,1,84139,770,750,2,0,3,15,0
Arizona,5,419382,4042,3614,15,0,103,258,52
Arkansas,265,2809536,57603,54801,166,0,517,2021,98
Colorado,227,5163671,48360,41131,199,0,1545,5206,279
Connecticut,82,2618964,24614,22942,44,0,430,1039,159
Delaware,58,925749,19665,18402,42,0,334,842,45
District of Columbia,1,0,817,811,0,0,4,2,0
Idaho,108,1611676,16862,15076,29,0,162,1476,119
Illinois,1,150209,5956,5635,22,0,64,235,0
Iowa,222,2958457,28710,26508,49,0,207,1759,187
Kansas,353,2259330,41814,38643,78,0,950,2059,84
Kentucky,385,4334254,31031,27082,135,0,623,3032,159
Louisiana,29,605088,10556,10033,32,0,50,367,74
Maine,22,333464,4353,3975,1,0,1,326,50
Massachusetts,304,5818101,68149,64127,101,0,505,2721,695
Michigan,601,9733958,152264,139892,673,0,934,10667,98
Mississippi,4,143858,4443,4307,6,0,15,103,12
Missouri,13,737873,15493,14542,106,0,89,708,48
Montana,98,1000016,9456,8314,15,0,161,899,67
Nebraska,68,686383,6670,5916,4,0,75,645,30
New Hampshire,151,1178087,16730,14832,32,0,267,1212,387
North Dakota,105,722021,8634,7850,15,0,87,571,111
Ohio,545,8525540,129850,121228,366,0,1940,5476,840
Oklahoma,265,1581467,15900,14795,37,0,122,855,91
Oregon,72,1449175,12633,11490,31,0,152,860,100
Pennsylvania,23,148764,182,167,2,0,1,10,2
Rhode Island,47,1050471,10830,10012,31,0,42,707,38
South Carolina,426,4761406,101125,95683,322,0,1082,3815,223
South Dakota,116,782947,8742,7869,14,0,71,624,164
Tennessee,515,6497309,149124,142495,375,4,1153,4548,549
Texas,61,3415422,41059,37809,118,0,518,2461,153
Utah,75,2288974,32001,27920,43,0,729,3077,232
Vermont,89,626376,3604,3267,10,0,81,202,44
Virginia,416,8258337,107585,100615,368,0,1498,4907,197
Washington,219,5096736,59274,54194,159,2,722,3870,327
West Virginia,263,1670269,16373,15242,56,0,103,897,75
Wisconsin,93,2267529,24525,21939,143,0,397,1672,374
