Crimes Against Persons Offenses,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Offense Category,,,,,,,,,
"by State, 2017",,,,,,,,,
State,"Number of 
Participating
Agencies","Population
Covered","Total 
Offenses",Offense Category,,,,,
,,,,"Assault
Offenses","Homicide
Offenses","Human
Trafficking
Offenses","Kidnapping/
Abduction","Sex 
Offenses","Sex Offenses,
Nonforcible"
Total,6998,105672974,1448085,1325786,5542,431,19505,91208,5613
Alabama,1,85634,758,724,2,0,2,30,0
Arizona,5,441754,4037,3529,27,0,107,327,47
Arkansas,292,2836240,59155,55825,268,0,560,2419,83
Colorado,219,5575629,60694,51772,248,56,2070,6332,216
Connecticut,94,2964038,25004,23320,54,8,221,1257,144
Delaware,63,961939,18053,16859,64,5,262,819,44
District of Columbia1,1,,1350,1295,0,0,4,51,0
Idaho,105,1699259,17187,15313,36,0,174,1566,98
Illinois,1,146770,6030,5711,19,1,93,206,0
Indiana,105,392088,3524,2892,24,0,79,524,5
Iowa,240,3104739,29987,27610,113,0,204,1932,128
Kansas,362,2157747,39451,36090,104,0,1023,2162,72
Kentucky,437,4454189,46636,41623,296,22,968,3556,171
Louisiana,33,911835,13719,13085,65,0,107,420,42
Maine,25,381656,4367,3983,7,2,10,322,43
Maryland,1,1034920,4671,4156,13,0,6,481,15
Massachusetts,300,5909196,62308,58094,110,26,516,2842,720
Michigan,629,9953546,152383,138588,636,22,803,12252,82
Minnesota,26,285742,1057,940,8,3,6,78,22
Mississippi,5,195630,5243,5056,17,0,24,133,13
Missouri,25,890041,20296,18979,163,4,147,944,59
Montana,104,1050005,12922,11214,34,2,232,1367,73
Nebraska,89,854722,8051,7117,10,0,106,762,56
New Hampshire,178,1296830,16492,14537,17,2,249,1408,279
North Dakota,107,754604,9807,8652,15,11,123,888,118
Ohio,544,9332963,148302,137243,638,0,2297,7895,229
Oklahoma,356,1874821,22331,20345,60,0,227,1553,146
Oregon,195,3911879,37065,32716,115,1,387,3507,339
Pennsylvania,29,203372,1174,1063,2,0,12,92,5
Rhode Island,47,1058595,10909,10016,20,13,54,769,37
South Carolina,445,4997385,96845,90656,421,30,1214,4325,199
South Dakota,111,814529,11254,10042,26,3,155,892,136
Tennessee,468,6716522,155692,147265,575,79,1713,5606,454
Texas,161,5446658,68673,63112,259,46,931,4102,223
Utah,71,2336125,30345,25825,72,0,809,3482,157
Vermont,90,623657,3639,3184,15,0,95,310,35
Virginia,413,8467744,106172,98218,492,0,1583,5729,150
Washington,228,6845624,82286,74440,219,30,1205,5987,405
West Virginia,246,1593494,16704,15282,99,0,147,1116,60
Wisconsin,147,3110853,33512,29415,179,65,580,2765,508
1Data was reported by the Metro Transit Police. This agency has no population associated with it.,,,,,,,,,
