Crimes Against Persons Offenses,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
Offense Category,,,,,,,,
"by State, 2018",,,,,,,,
State,"Number of 
Participating
Agencies","Population
Covered","Total 
Offenses",Offense Category,,,,
,,,,"Assault
Offenses","Homicide
Offenses","Human
Trafficking
Offenses","Kidnapping/
Abduction","Sex 
Offenses"
Total,7283,117181606,1587662,1454398,5673,569,21114,105908
Alabama,1,85521,435,408,2,0,4,21
Arizona,5,450167,4328,3744,28,0,111,445
Arkansas,286,2883871,60838,57148,241,3,603,2843
Colorado,216,5641173,61902,52879,248,49,2039,6687
Connecticut,96,3150064,27264,25291,64,12,260,1637
Delaware,63,967171,17788,16696,50,4,222,816
District of Columbia1,1,,1427,1356,0,0,2,69
Georgia,12,146168,54,49,0,0,1,4
Hawaii,1,982019,10197,9034,31,4,312,816
Idaho,105,1748506,17710,15567,36,0,202,1905
Illinois,1,146198,5804,5438,23,0,127,216
Indiana,112,512169,8582,7671,48,2,156,705
Iowa,228,3082020,19452,18003,45,0,116,1288
Kansas,361,2093483,39891,36350,102,0,1110,2329
Kentucky,411,4449972,44947,40126,265,47,946,3563
Louisiana,33,833234,15487,14677,55,0,154,601
Maine,28,431978,4906,4486,5,2,9,404
Maryland,1,1042452,5384,4777,20,0,14,573
Massachusetts,302,5925066,61176,56625,79,42,560,3870
Michigan,631,9968252,158330,143337,620,33,836,13504
Minnesota,72,701758,4125,3628,10,6,44,437
Mississippi,12,406681,7532,7319,16,1,8,188
Missouri,41,1184415,24306,22683,183,10,202,1228
Montana,101,1061101,12383,10704,35,3,239,1402
Nebraska,95,957049,9765,8627,14,0,149,975
New Hampshire,184,1317257,16953,14957,24,0,269,1703
New Mexico,2,662438,17373,15586,92,4,596,1095
North Dakota,105,759744,10278,9181,28,3,112,954
Ohio,520,9369617,148283,137804,524,0,2003,7952
Oklahoma,372,2018690,23367,21127,63,1,282,1894
Oregon,220,4056382,40044,35423,112,2,448,4059
Pennsylvania,28,202192,869,771,1,0,5,92
Rhode Island,47,1056281,10618,9684,17,14,37,866
South Carolina,436,5015959,96830,90899,417,18,1124,4372
South Dakota,122,838746,11584,10379,21,1,142,1041
Tennessee,463,6770010,150040,141819,546,36,1764,5875
Texas,336,12116435,164133,154424,613,135,1292,7669
Utah,75,2403754,30822,25913,61,15,803,4030
Vermont,88,626299,3969,3475,11,5,77,401
Virginia,415,8511045,104374,96113,436,0,1684,6141
Washington,236,7509327,85736,77548,238,44,1241,6665
West Virginia,251,1582691,13479,12302,65,0,146,966
Wisconsin,168,3514251,34897,30370,184,73,663,3607
1Data was reported by the Metro Transit Police. This agency has no population associated with it.,,,,,,,,
