State,Homicide Offenses,Total Offenses,Population Covered,Year
Alabama,3,864,85601,2016
Arizona,15,3545,453183,2016
Arkansas,232,61649,2853645,2016
Colorado,235,57498,5519770,2016
Connecticut,52,23997,2900457,2016
Delaware,61,18814,952065,2016
Idaho,54,17691,1683140,2016
Illinois,27,6333,147363,2016
Indiana,30,1268,46950,2016
Iowa,84,30661,3113470,2016
Kansas,77,38430,2130286,2016
Kentucky,291,45620,4436974,2016
Louisiana,44,13867,775491,2016
Maine,6,4307,374727,2016
Massachusetts,86,63829,5849105,2016
Michigan,649,159568,9847710,2016
Minnesota,0,117,74676,2016
Mississippi,13,4912,170438,2016
Missouri,141,18741,806802,2016
Montana,36,12245,1042048,2016
Nebraska,6,8334,840799,2016
New Hampshire,21,16095,1275170,2016
North Dakota,19,9622,757493,2016
Ohio,542,132054,8951687,2016
Oklahoma,66,20818,1835677,2016
Oregon,111,33220,3573011,2016
Pennsylvania,8,1074,230336,2016
Rhode Island,31,10589,1055380,2016
South Carolina,409,97246,4936962,2016
South Dakota,29,11255,802805,2016
Tennessee,544,152035,6652105,2016
Texas,176,48032,4100255,2016
Utah,75,31906,2357563,2016
Vermont,17,3367,625702,2016
Virginia,534,106679,8411424,2016
Washington,195,74365,6732631,2016
West Virginia,85,18117,1622119,2016
Wisconsin,211,27402,2875748,2016
