State,Homicide Offenses,Total Offenses,Population Covered,Year
Alabama,4,840,85670,2019
Arizona,35,5138,588483,2019
Arkansas,253,60998,2813597,2019
Colorado,276,59182,5705335,2019
Connecticut,88,29018,3318976,2019
Delaware,53,17480,973764,2019
Georgia,75,22637,5055022,2019
Hawaii,28,10665,974902,2019
Idaho,40,17379,1782402,2019
Illinois,19,5374,145719,2019
Indiana,131,25231,2544537,2019
Iowa,64,29136,3135918,2019
Kansas,86,41605,2485243,2019
Kentucky,247,46936,4460061,2019
Louisiana,81,14872,817563,2019
Maine,14,6854,512603,2019
Maryland,50,7583,1733463,2019
Massachusetts,122,63770,6673102,2019
Michigan,619,158443,9968870,2019
Minnesota,86,19106,1989925,2019
Mississippi,63,10501,774784,2019
Missouri,209,28658,1888808,2019
Montana,34,12349,1055460,2019
Nebraska,17,9838,1013977,2019
Nevada,0,1234,471700,2019
New Hampshire,44,16052,1313554,2019
New Mexico,109,18558,767385,2019
North Carolina,564,111836,8740258,2019
North Dakota,25,10521,762062,2019
Ohio,500,150976,9458339,2019
Oklahoma,171,32609,2703949,2019
Oregon,148,38742,4056079,2019
Pennsylvania,0,571,197330,2019
Rhode Island,26,10412,1058329,2019
South Carolina,490,98035,5081688,2019
South Dakota,31,12567,848738,2019
Tennessee,567,145891,6829174,2019
Texas,1005,261463,18730644,2019
Utah,77,31808,2590905,2019
Vermont,19,4585,623989,2019
Virginia,483,106000,8533624,2019
Washington,228,83034,7587677,2019
West Virginia,84,12816,1574978,2019
Wisconsin,230,38985,4089578,2019
Wyoming,0,466,43878,2019
