State,Homicide Offenses,Total Offenses,Population Covered,Year
Alabama,0,809,82012,2011
Arizona,15,2487,314222,2011
Arkansas,162,60023,2804225,2011
Colorado,157,41243,4229596,2011
Connecticut,65,26490,2586191,2011
Delaware,43,22216,907135,2011
District of Columbia,0,781,0,2011
Idaho,32,17621,1583018,2011
Illinois,21,6278,153331,2011
Iowa,46,30751,2904419,2011
Kansas,71,46462,2252781,2011
Kentucky,105,30126,4246472,2011
Louisiana,37,15144,653519,2011
Maine,5,3826,280762,2011
Massachusetts,117,71631,5581641,2011
Michigan,693,160413,9578540,2011
Mississippi,16,2025,68049,2011
Missouri,119,14326,669905,2011
Montana,18,9884,988577,2011
Nebraska,10,7511,646262,2011
New Hampshire,22,18171,1176668,2011
North Dakota,14,7559,666780,2011
Ohio,401,142707,8481055,2011
Oklahoma,24,7346,1024254,2011
Oregon,41,13730,1125343,2011
Rhode Island,16,10753,1050252,2011
South Carolina,338,110853,4668211,2011
South Dakota,21,8712,746684,2011
Tennessee,422,162095,6403353,2011
Texas,114,48794,3527692,2011
Utah,59,30988,2193871,2011
Vermont,10,3913,619283,2011
Virginia,323,115080,8087710,2011
Washington,63,30588,3075067,2011
West Virginia,76,18981,1689892,2011
Wisconsin,116,21206,2134999,2011
Alabama,2,899,82332,2012
Arizona,32,2671,314822,2012
Arkansas,195,59476,2755084,2012
Colorado,176,47729,5055579,2012
Connecticut,84,26797,2598231,2012
Delaware,59,22141,917886,2012
District of Columbia,0,731,0,2012
Idaho,31,17484,1595241,2012
Illinois,12,6170,152293,2012
Iowa,50,29635,2920652,2012
Kansas,60,45302,2256072,2012
Kentucky,146,32282,4313264,2012
Louisiana,0,445,248064,2012
Maine,5,4001,285832,2012
Massachusetts,77,69778,5734473,2012
Michigan,736,160878,9633716,2012
Mississippi,5,3495,126059,2012
Missouri,116,16169,740543,2012
Montana,24,10776,995410,2012
Nebraska,3,7350,676706,2012
New Hampshire,16,17851,1170795,2012
North Dakota,17,8366,688805,2012
Ohio,330,123519,8312658,2012
Oklahoma,20,12713,1328271,2012
