Homicide_Offenses_Lag1,Homicide_Offenses_Lag2,Population_Lag1,State,Predicted_Homicide_Offenses_2019
2,2.0,85521,Alabama,2.4103074899569
28,27.0,450167,Arizona,28.47731107144473
241,268.0,2883871,Arkansas,231.88292779228598
248,248.0,5641173,Colorado,261.499955183034
64,54.0,3150064,Connecticut,80.65876689330989
50,64.0,967171,Delaware,49.119686313757164
36,36.0,1748506,Idaho,44.22901060441674
23,19.0,146198,Illinois,22.461343889659638
48,24.0,512169,Indiana,51.009509084953166
45,113.0,3082020,Iowa,49.221169847518134
102,104.0,2093483,Kansas,105.69484756975666
265,296.0,4449972,Kentucky,263.32500390876874
55,65.0,833234,Louisiana,53.43871971261356
5,7.0,431978,Maine,7.085914337644937
20,13.0,1042452,Maryland,26.306394674561158
79,110.0,5925066,Massachusetts,105.53249174582174
620,636.0,9968252,Michigan,623.1006243747155
10,8.0,701758,Minnesota,14.115349235375263
16,17.0,406681,Mississippi,17.01114067485199
183,163.0,1184415,Missouri,176.52706810015684
35,34.0,1061101,Montana,38.89001782461969
14,10.0,957049,Nebraska,19.790777850902494
24,17.0,1317257,New Hampshire,31.757690083091784
28,15.0,759744,North Dakota,32.68654905123093
524,638.0,9369617,Ohio,515.1269895053664
63,60.0,2018690,Oklahoma,70.91856513255377
112,115.0,4056382,Oregon,127.71132860156452
1,2.0,202192,Pennsylvania,2.1144306424353836
17,20.0,1056281,Rhode Island,21.918753777662516
417,421.0,5015959,South Carolina,408.96092208030984
21,26.0,838746,South Dakota,23.709524029378677
546,575.0,6770010,Tennessee,532.6027676340987
613,259.0,12116435,Texas,696.9129802181427
61,72.0,2403754,Utah,69.21455847700548
11,15.0,626299,Vermont,13.444908102351818
436,492.0,8511045,Virginia,440.3220901496876
238,219.0,7509327,Washington,268.3999830930545
65,99.0,1582691,West Virginia,63.22447386260954
184,179.0,3514251,Wisconsin,190.40671514705312
