Total_Offenses_Lag1,Total_Offenses_Lag2,Population_Lag1,State,Predicted_Total_Offenses_2019
435,758.0,85521,Alabama,447.2469348733672
4328,4037.0,450167,Arizona,4795.761733414349
60838,59155.0,2883871,Arkansas,61176.3089591003
61902,60694.0,5641173,Colorado,64991.901042458485
27264,25004.0,3150064,Connecticut,30238.419136666394
17788,18053.0,967171,Delaware,17732.62126796965
17710,17187.0,1748506,Idaho,18897.535869484196
5804,6030.0,146198,Illinois,5598.887214283037
8582,3524.0,512169,Indiana,11128.84369592777
19452,29987.0,3082020,Iowa,16732.555948636575
39891,39451.0,2093483,Kansas,40054.03537228393
44947,46636.0,4449972,Kentucky,46384.89918979121
15487,13719.0,833234,Louisiana,16394.64720339563
4906,4367.0,431978,Maine,5436.324890738225
5384,4671.0,1042452,Maryland,6641.694799705892
61176,62308.0,5925066,Massachusetts,63508.42046576772
158330,152383.0,9968252,Michigan,162518.1766903489
4125,1057.0,701758,Minnesota,6206.84842791308
7532,5243.0,406681,Mississippi,8706.990885083524
24306,20296.0,1184415,Missouri,26127.11234378894
12383,12922.0,1061101,Montana,12633.473957728647
9765,8051.0,957049,Nebraska,11135.88612483858
16953,16492.0,1317257,New Hampshire,17681.569393700433
10278,9807.0,759744,North Dakota,10806.936897947819
148283,148302.0,9369617,Ohio,149584.83768094206
23367,22331.0,2018690,Oklahoma,24749.019888933166
40044,37065.0,4056382,Oregon,43574.70810802995
869,1174.0,202192,Pennsylvania,991.8891148398122
10618,10909.0,1056281,Rhode Island,11090.056594621674
96830,96845.0,5015959,South Carolina,96496.1627800423
11584,11254.0,838746,South Dakota,12052.508935494365
150040,155692.0,6770010,Tennessee,145678.75418719667
164133,68673.0,12116435,Texas,213008.55759156952
30822,30345.0,2403754,Utah,31903.550180948296
3969,3639.0,626299,Vermont,4671.875554592394
104374,106172.0,8511045,Virginia,106583.58479889546
85736,82286.0,7509327,Washington,90489.32389253029
13479,16704.0,1582691,West Virginia,12957.234759042607
34897,33512.0,3514251,Wisconsin,37386.29880313038
