State,Homicide Offenses,Total Offenses,Population Covered
Alabama,2.892857142857167,605.1785714285652,86858.07142857136
Arizona,23.57142857142844,4577.1428571428405,498981.3214285672
Arkansas,261.28571428571377,59815.03571428574,2858657.9642857164
Colorado,264.82142857142753,65780.4285714291,5972566.035714328
Connecticut,51.46428571428578,24484.07142857142,3145166.4642857313
Delaware,63.28571428571422,16776.535714285914,978282.25
District of Columbia,0.0,1156.800000000003,0.0
Georgia,0.0,54.0,146168.0
Hawaii,31.0,10197.0,982019.0
Idaho,43.321428571428896,17418.214285714283,1753667.2857142836
Illinois,23.85714285714289,5910.785714285717,144553.92857142864
Indiana,45.14285714285688,8278.514285714366,608226.5142856836
Iowa,89.5,24547.03571428568,3168244.6071428508
Kansas,104.03571428571377,36589.78571428568,2077895.5357142836
Kentucky,334.57142857142753,50958.53571428545,4520379.428571433
Louisiana,62.92857142857065,16107.464285714319,955648.4642857164
Maine,6.678571428571445,4715.53571428571,433437.0357142836
Maryland,27.0,6097.0,1049984.0
Massachusetts,84.9285714285711,59072.75,5982129.4642857015
Michigan,598.1428571428551,153076.57142857136,10042388.607142866
Minnesota,16.0,5774.333333333489,981140.6666666269
Mississippi,16.03571428571422,7048.607142857276,322213.4285714328
Missouri,173.10714285714494,23284.392857142724,1064174.0
Montana,41.535714285714675,13247.821428571478,1069689.0
Nebraska,11.821428571428442,9141.571428571362,962432.9642857164
New Hampshire,19.821428571428584,15944.14285714284,1343753.5714285672
New Mexico,92.0,17373.0,662438.0
North Dakota,24.67857142857156,10507.35714285716,789760.3571428582
Ohio,607.3571428571449,143909.92857142864,9467375.071428597
Oklahoma,76.57142857142935,26751.46428571455,2181873.3571428657
Oregon,130.39285714285506,42148.10714285821,4486536.035714269
Pennsylvania,3.0,1298.4666666666744,232539.80000000075
Rhode Island,21.89285714285711,10609.499999999985,1059315.3571428568
South Carolina,443.6428571428587,92172.03571428545,5076637.107142866
South Dakota,28.03571428571422,12112.25,843098.8214285709
Tennessee,582.4642857142826,147796.67857142864,6813006.071428567
Texas,441.67857142857974,112565.0714285709,8751618.571428537
Utah,72.14285714285688,30711.32142857142,2417595.9642857164
Vermont,14.178571428571445,3427.107142857145,627270.642857143
Virginia,522.75,101757.75,8590291.464285702
Washington,260.57142857142753,94597.89285714366,8222373.285714388
West Virginia,79.96428571428578,14256.892857142724,1537162.6428571492
Wisconsin,216.32142857142753,34834.142857142724,3480595.0714285374
