State,Actual Total,Actual Homicide,LR Total Forecast,LR Homicide Forecast,AR Total Forecast,AR Homicide Forecast,Error_Linear_Total,Error_Lag_Total,Error_Linear_Homicide,Error_Lag_Homicide,Overall_MAE_Linear_Total,Overall_MAE_Lag_Total,Overall_MAE_Linear_Homicide,Overall_MAE_Lag_Homicide
Alabama,840,4,605.1785714285652,2.892857142857167,447.2469348733672,2.4103074899569,234.8214285714348,392.7530651266328,1.1071428571428328,1.5896925100431,7225.542429792495,3675.684928363834,39.8635531135529,30.24147663749055
Arizona,5138,35,4577.1428571428405,23.57142857142844,4795.761733414349,28.47731107144473,560.8571428571595,342.2382665856512,11.428571428571558,6.522688928555269,7225.542429792495,3675.684928363834,39.8635531135529,30.24147663749055
Arkansas,60998,253,59815.03571428574,261.28571428571377,61176.3089591003,231.882927792286,1182.9642857142608,178.30895910030085,8.285714285713766,21.11707220771399,7225.542429792495,3675.684928363834,39.8635531135529,30.24147663749055
Colorado,59182,276,65780.4285714291,264.82142857142753,64991.901042458485,261.499955183034,6598.428571429104,5809.901042458485,11.178571428572468,14.50004481696601,7225.542429792495,3675.684928363834,39.8635531135529,30.24147663749055
Connecticut,29018,88,24484.07142857142,51.46428571428578,30238.419136666394,80.65876689330989,4533.92857142858,1220.4191366663945,36.53571428571422,7.341233106690112,7225.542429792495,3675.684928363834,39.8635531135529,30.24147663749055
Delaware,17480,53,16776.535714285914,63.28571428571422,17732.62126796965,49.11968631375717,703.4642857140861,252.62126796965094,10.28571428571422,3.880313686242829,7225.542429792495,3675.684928363834,39.8635531135529,30.24147663749055
Idaho,17379,40,17418.214285714283,43.321428571428896,18897.5358694842,44.22901060441674,39.214285714282596,1518.5358694841998,3.3214285714288962,4.229010604416743,7225.542429792495,3675.684928363834,39.8635531135529,30.24147663749055
Illinois,5374,19,5910.785714285717,23.85714285714289,5598.887214283037,22.46134388965964,536.7857142857174,224.88721428303688,4.85714285714289,3.4613438896596413,7225.542429792495,3675.684928363834,39.8635531135529,30.24147663749055
Indiana,25231,131,8278.514285714366,45.14285714285688,11128.84369592777,51.009509084953166,16952.485714285634,14102.15630407223,85.85714285714312,79.99049091504683,7225.542429792495,3675.684928363834,39.8635531135529,30.24147663749055
Iowa,29136,64,24547.03571428568,89.5,16732.555948636575,49.22116984751813,4588.964285714319,12403.444051363425,25.5,14.778830152481873,7225.542429792495,3675.684928363834,39.8635531135529,30.24147663749055
